gender,age,married,number_of_dependents,latitude,longitude,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,has_refunded,has_extra_data_charges,total_long_distance_charges,total_revenue,customer_status
Female,"(35, 45]",Yes,0,34.827662,-118.999073,2+,9,Offer E,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,No,No,381.51,974.81,Stayed
Male,"(45, 55]",No,0,34.162515,-118.203869,0,9,Offer E,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,Yes,Yes,96.21,610.28,Stayed
Male,"(45, 55]",No,0,33.645672,-117.922613,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,No,No,134.6,415.45,Churned
Male,"(65, 100]",Yes,0,38.014457,-122.115432,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,No,No,361.66,1599.51,Churned
Female,"(65, 100]",Yes,0,34.227846,-119.079903,2+,3,Offer E,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,No,No,22.14,289.54,Churned
Female,"(18, 25]",No,1+,37.581496,-119.972762,0,9,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,No,No,150.93,722.38,Stayed
Female,"(65, 100]",Yes,0,34.757477,-120.550507,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,No,No,707.16,8611.41,Stayed
Male,"(45, 55]",Yes,0,38.489789,-122.27011,2+,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,No,Yes,816.48,6214.28,Stayed
Female,"(65, 100]",No,0,34.296813,-118.685703,0,7,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,No,No,73.71,414.06,Stayed
Female,"(35, 45]",Yes,1+,38.984756,-121.345074,2+,65,Offer B,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,No,No,1849.9,7807.8,Stayed
Male,"(45, 55]",No,0,32.99356,-117.207121,0,54,Offer B,No,25.584371102988605,Yes,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,No,No,0.0,2460.55,Stayed
Female,"(18, 25]",Yes,1+,37.378541,-122.020456,2+,72,Offer A,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,No,No,1152.72,9609.47,Stayed
Female,"(55, 65]",Yes,0,38.715498,-121.363411,0,5,Offer E,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,No,No,93.25,444.75,Stayed
Female,"(25, 35]",No,0,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,No,No,162.0,7423.25,Stayed
Female,"(35, 45]",No,0,34.70434,-120.02609,0,56,Offer B,No,25.584371102988605,Yes,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,No,No,0.0,2560.1,Stayed
